event,date,magnitude,lat,lon
Iceberg B22H,2025-07-11T12:00:00Z,71.16,-73.71,-168.78
Iceberg B22H,2025-07-31T00:00:00Z,133.0,-73.22,-169.13
Iceberg B22H,2025-08-21T00:00:00Z,133.0,-72.46,-170.77
Iceberg B22H,2025-09-04T00:00:00Z,133.0,-72.05,-172.24
Iceberg B22H,2025-09-18T00:00:00Z,133.0,-71.78,-173.86
Iceberg B22H,2025-10-09T00:00:00Z,133.0,-71.46,-175.09
Iceberg B22H,2025-10-23T00:00:00Z,133.0,-71.23,-176.33
Iceberg B22H,2025-11-28T00:00:00Z,133.0,-71.04,-178.04
Iceberg B22H,2026-01-02T00:00:00Z,63.0,-71.47,-178.98
Iceberg B22H,2026-03-06T00:00:00Z,48.0,-71.91,-178.51
Iceberg B22H,2026-03-20T00:00:00Z,48.0,-72.28,-179.77
Iceberg B22H,2026-04-10T00:00:00Z,48.0,-72.46,178.02
Iceberg B22I,2025-07-11T00:00:00Z,31.06,-73.85,-168.96
Iceberg B22I,2025-08-08T00:00:00Z,45.0,-73.21,-168.97
Iceberg B22I,2025-08-21T00:00:00Z,45.0,-72.54,-170.25
Iceberg B22I,2025-08-28T00:00:00Z,45.0,-72.07,-170.32
Iceberg B22I,2025-09-04T00:00:00Z,45.0,-71.96,-172.39
Iceberg B22I,2025-09-11T00:00:00Z,45.0,-71.72,-173.67
Iceberg B22I,2025-10-16T00:00:00Z,45.0,-71.16,-175.21
Iceberg B22I,2025-10-31T00:00:00Z,45.0,-71.09,-177.12
Iceberg B22I,2025-11-21T00:00:00Z,45.0,-70.47,-177.14
Iceberg B22I,2025-11-28T00:00:00Z,45.0,-69.98,-178.16
Iceberg B22I,2025-12-05T00:00:00Z,45.0,-70.13,-179.71
Iceberg B22I,2026-01-02T00:00:00Z,45.0,-70.56,179.75
Iceberg B22I,2026-01-23T00:00:00Z,45.0,-70.55,-178.15
Iceberg B22I,2026-02-06T00:00:00Z,45.0,-70.0,-178.59
Iceberg B22I,2026-02-26T00:00:00Z,45.0,-69.52,-178.37
Iceberg B22F,2024-08-15T00:00:00Z,330.0,-72.61,-127.41
Iceberg B22F,2024-12-13T00:00:00Z,330.0,-74.12,-140.7
Iceberg B22F,2024-12-26T00:00:00Z,330.0,-74.37,-143.13
Iceberg B22F,2025-01-02T00:00:00Z,330.0,-74.74,-145.92
Iceberg B22F,2025-01-31T00:00:00Z,330.0,-74.89,-148.32
Iceberg B22F,2025-02-14T00:00:00Z,330.0,-75.2,-150.91
Iceberg B22F,2025-03-06T00:00:00Z,330.0,-75.24,-153.12
Iceberg B22F,2025-03-13T00:00:00Z,330.0,-75.65,-154.11
Iceberg B22F,2025-03-27T00:00:00Z,330.0,-75.88,-155.71
Iceberg B22F,2025-04-11T00:00:00Z,330.0,-75.63,-157.47
Iceberg B22F,2025-05-09T00:00:00Z,330.0,-75.39,-160.1
Iceberg B22F,2025-05-22T00:00:00Z,330.0,-74.93,-161.44
Iceberg B22F,2025-06-05T00:00:00Z,330.0,-74.75,-163.27
Iceberg B22F,2025-06-12T00:00:00Z,330.0,-74.38,-165.79
Iceberg B22F,2025-06-27T00:00:00Z,330.0,-73.88,-167.33
Iceberg B22F,2025-07-11T00:00:00Z,330.0,-73.67,-169.21
Iceberg B22F,2025-07-31T00:00:00Z,112.0,-73.23,-169.59
Iceberg B22F,2025-08-21T00:00:00Z,112.0,-72.62,-170.96
Iceberg B22F,2025-09-04T00:00:00Z,112.0,-72.21,-171.89
Iceberg B22F,2025-09-11T00:00:00Z,112.0,-72.3,-173.36
Iceberg B22F,2025-10-09T00:00:00Z,112.0,-71.31,-173.77
Iceberg B22F,2025-10-16T00:00:00Z,112.0,-70.81,-174.64
Iceberg B22F,2025-10-31T00:00:00Z,112.0,-70.28,-177.13
Iceberg B22F,2025-11-14T00:00:00Z,112.0,-69.89,-177.85
Iceberg B22F,2025-11-28T00:00:00Z,112.0,-69.24,-177.84
Iceberg B22F,2025-12-26T00:00:00Z,112.0,-68.86,-176.57
Iceberg B22F,2026-01-02T00:00:00Z,112.0,-68.3,-176.74
Iceberg B22F,2026-02-19T00:00:00Z,112.0,-67.68,-177.25
Iceberg B22F,2026-03-06T00:00:00Z,98.0,-67.31,-178.77
Iceberg B22F,2026-03-26T00:00:00Z,98.0,-67.09,-179.86
Iceberg B22F,2026-04-10T00:00:00Z,98.0,-67.58,179.79
Iceberg B22G,2024-08-15T00:00:00Z,45.0,-72.46,-127.08
Iceberg B22G,2024-12-13T00:00:00Z,45.0,-74.03,-137.53
Iceberg B22G,2025-01-02T00:00:00Z,45.0,-74.36,-139.07
Iceberg B22G,2025-01-23T00:00:00Z,45.0,-74.53,-141.7
Iceberg B22G,2025-02-21T00:00:00Z,45.0,-74.62,-143.61
Iceberg B22G,2025-03-06T00:00:00Z,45.0,-75.38,-148.24
Iceberg B22G,2025-03-21T00:00:00Z,45.0,-75.35,-152.73
Iceberg B22G,2025-04-04T00:00:00Z,45.0,-75.34,-154.86
Iceberg B22G,2025-05-02T00:00:00Z,45.0,-74.88,-156.3
Iceberg B22G,2025-05-16T00:00:00Z,45.0,-74.38,-157.83
Iceberg B22G,2025-05-22T00:00:00Z,45.0,-74.0,-158.76
Iceberg B22G,2025-06-05T00:00:00Z,45.0,-73.79,-161.08
Iceberg B22G,2025-06-12T00:00:00Z,45.0,-73.35,-163.06
Iceberg B22G,2025-06-27T00:00:00Z,45.0,-72.55,-163.83
Iceberg B22G,2025-07-18T00:00:00Z,45.0,-72.14,-162.07
Iceberg B22G,2025-07-31T00:00:00Z,45.0,-71.52,-162.34
Iceberg B22G,2025-08-08T00:00:00Z,45.0,-71.28,-160.83
Iceberg B22G,2025-08-14T00:00:00Z,45.0,-71.07,-162.22
Iceberg B22G,2025-08-28T00:00:00Z,45.0,-70.61,-161.82
Iceberg B22G,2025-09-11T00:00:00Z,45.0,-71.05,-160.39
Iceberg B22G,2025-09-18T00:00:00Z,45.0,-71.25,-162.1
Iceberg B22G,2025-10-09T00:00:00Z,45.0,-70.25,-160.55
Iceberg B22G,2025-10-16T00:00:00Z,45.0,-70.09,-159.26
Iceberg B22G,2025-11-14T00:00:00Z,45.0,-69.62,-161.18
Iceberg B22G,2025-12-18T00:00:00Z,45.0,-69.43,-159.78
Iceberg B22G,2026-02-26T00:00:00Z,45.0,-68.77,-159.71
Iceberg B09G,2019-03-12T00:00:00Z,,-67.97,41.71
Iceberg B15AB,2019-03-12T00:00:00Z,,-65.98,51.31
Iceberg B15AB,2023-02-24T00:00:00Z,44.0,-66.13,49.16
Iceberg B15AB,2023-03-10T00:00:00Z,44.0,-66.98,45.05
Iceberg B15AB,2023-03-24T00:00:00Z,44.0,-66.36,45.27
Iceberg B15AB,2023-03-31T00:00:00Z,44.0,-67.03,44.44
Iceberg B15AB,2023-04-14T00:00:00Z,44.0,-67.54,42.52
Iceberg B15AB,2023-04-21T00:00:00Z,44.0,-68.33,36.62
Iceberg B15AB,2023-04-28T00:00:00Z,44.0,-68.02,34.09
Iceberg B15AB,2023-05-05T00:00:00Z,44.0,-68.53,31.9
Iceberg B15AB,2023-05-12T00:00:00Z,44.0,-69.43,28.01
Iceberg B15AB,2023-05-19T00:00:00Z,44.0,-69.78,21.09
Iceberg B15AB,2023-05-26T00:00:00Z,44.0,-69.28,16.36
Iceberg B15AB,2023-06-02T00:00:00Z,44.0,-69.44,13.05
Iceberg B15AB,2023-06-09T00:00:00Z,44.0,-69.68,10.96
Iceberg B15AB,2023-06-15T00:00:00Z,44.0,-69.81,7.57
Iceberg B15AB,2023-06-23T00:00:00Z,44.0,-69.44,13.05
Iceberg B15AB,2023-06-30T00:00:00Z,44.0,-69.94,-2.42
Iceberg B15AB,2023-07-07T00:00:00Z,44.0,-70.15,-7.07
Iceberg B15AB,2023-07-14T00:00:00Z,44.0,-70.71,-10.71
Iceberg B15AB,2023-07-28T00:00:00Z,44.0,-69.44,13.05
Iceberg B15AB,2023-08-04T00:00:00Z,44.0,-71.49,-12.59
Iceberg B15AB,2023-10-06T00:00:00Z,44.0,-72.01,-15.57
Iceberg B15AB,2024-02-16T00:00:00Z,44.0,-72.03,-17.51
Iceberg B15AB,2024-02-23T00:00:00Z,44.0,-72.48,-18.08
Iceberg B15AB,2024-03-07T00:00:00Z,44.0,-72.04,-19.45
Iceberg B15AB,2024-03-22T00:00:00Z,44.0,-72.48,-18.08
Iceberg B15AB,2024-03-29T00:00:00Z,44.0,-74.3,-28.0
Iceberg B15AB,2024-12-13T00:00:00Z,40.0,-68.94,-54.78
Iceberg B15AB,2025-01-10T00:00:00Z,40.0,-68.08,-55.35
Iceberg B15AB,2025-01-31T00:00:00Z,40.0,-67.53,-55.89
Iceberg B15AB,2025-03-06T00:00:00Z,40.0,-67.02,-56.03
Iceberg B15AB,2025-04-04T00:00:00Z,40.0,-66.35,-55.72
Iceberg B15AB,2025-04-18T00:00:00Z,40.0,-66.0,-54.46
Iceberg B15AB,2025-05-09T00:00:00Z,40.0,-65.54,-53.44
Iceberg B15AB,2025-05-22T00:00:00Z,40.0,-64.6,-54.03
Iceberg B15AB,2025-05-29T00:00:00Z,40.0,-64.16,-53.45
Iceberg B15AB,2025-06-20T00:00:00Z,40.0,-63.52,-53.2
Iceberg B15AB,2025-07-18T00:00:00Z,40.0,-63.22,-52.42
Iceberg B15AB,2025-07-31T00:00:00Z,40.0,-62.61,-53.32
Iceberg B15AB,2025-08-14T00:00:00Z,40.0,-61.78,-52.52
Iceberg B15AB,2025-08-21T00:00:00Z,40.0,-61.22,-52.15
Iceberg B15AB,2025-08-28T00:00:00Z,40.0,-61.37,-53.39
Iceberg B15AB,2025-09-11T00:00:00Z,40.0,-60.43,-52.99
Iceberg B15AB,2025-09-26T00:00:00Z,40.0,-58.92,-50.72
Iceberg B15AB,2025-10-09T00:00:00Z,40.0,-57.76,-48.75
Iceberg B15AB,2025-10-23T00:00:00Z,40.0,-58.15,-48.2
Iceberg B15AB,2025-10-31T00:00:00Z,40.0,-58.66,-47.08
Iceberg B15AB,2025-11-07T00:00:00Z,40.0,-59.4,-46.53
Iceberg B15AB,2025-11-14T00:00:00Z,40.0,-58.62,-45.21
Iceberg B15AB,2025-11-21T00:00:00Z,40.0,-58.15,-46.26
Iceberg B15AB,2025-12-12T00:00:00Z,40.0,-57.23,-44.22
Iceberg B15AB,2025-12-18T00:00:00Z,40.0,-57.07,-43.04
Iceberg B15AB,2026-01-02T00:00:00Z,40.0,-58.0,-39.43
Iceberg B15AB,2026-01-09T00:00:00Z,40.0,-57.68,-37.84
Iceberg B15AB,2026-01-16T00:00:00Z,40.0,-56.77,-38.14
Iceberg B15AB,2026-01-23T00:00:00Z,40.0,-56.39,-37.34
Iceberg B15AB,2026-01-30T00:00:00Z,40.0,-57.62,-35.11
Iceberg B15AB,2026-02-06T00:00:00Z,40.0,-56.11,-33.86
Iceberg B15AB,2026-02-13T00:00:00Z,40.0,-54.98,-33.86
Iceberg B15AB,2026-02-19T00:00:00Z,40.0,-53.63,-34.56
Iceberg B15AB,2026-03-06T00:00:00Z,14.0,-53.33,-33.75
Iceberg B22A,2011-08-30T00:00:00Z,,-74.2006,-108.5265
Iceberg B22A,2022-02-18T00:00:00Z,912.0,-73.82,-109.44
Iceberg B22A,2023-01-27T00:00:00Z,912.0,-73.39,-108.78
Iceberg B22A,2023-02-17T00:00:00Z,912.0,-72.76,-108.24
Iceberg B22A,2023-03-10T00:00:00Z,912.0,-72.33,-108.85
Iceberg B22A,2023-04-21T00:00:00Z,912.0,-72.2,-111.09
Iceberg B22A,2023-05-19T00:00:00Z,912.0,-72.1,-113.27
Iceberg B22A,2023-06-30T00:00:00Z,1056.0,-72.02,-115.09
Iceberg B22A,2023-07-28T00:00:00Z,912.0,-72.13,-113.47
Iceberg B22A,2023-08-18T00:00:00Z,1056.0,-71.72,-112.4
Iceberg B22A,2023-12-08T00:00:00Z,1056.0,-71.47,-114.38
Iceberg B22A,2024-01-04T00:00:00Z,1056.0,-71.5,-116.41
Iceberg B22A,2024-02-16T00:00:00Z,1056.0,-71.81,-117.78
Iceberg B22A,2024-03-29T00:00:00Z,1056.0,-72.15,-119.18
Iceberg B22A,2024-12-13T00:00:00Z,858.0,-74.32,-143.26
Iceberg B22A,2024-12-20T00:00:00Z,858.0,-74.54,-145.28
Iceberg B22A,2025-01-02T00:00:00Z,858.0,-74.93,-147.2
Iceberg B22A,2025-01-23T00:00:00Z,858.0,-75.29,-149.39
Iceberg B22A,2025-01-31T00:00:00Z,858.0,-75.62,-151.53
Iceberg B22A,2025-02-14T00:00:00Z,858.0,-75.86,-153.91
Iceberg B22A,2025-03-06T00:00:00Z,858.0,-76.31,-155.77
Iceberg B22A,2025-03-27T00:00:00Z,858.0,-76.29,-158.09
Iceberg B22A,2025-04-11T00:00:00Z,858.0,-76.16,-160.03
Iceberg B22A,2025-05-09T00:00:00Z,858.0,-75.8,-161.95
Iceberg B22A,2025-05-22T00:00:00Z,858.0,-75.3,-162.46
Iceberg B22A,2025-06-05T00:00:00Z,858.0,-75.08,-165.18
Iceberg B22A,2025-06-20T00:00:00Z,858.0,-74.62,-167.15
Iceberg B22A,2025-07-04T00:00:00Z,858.0,-74.24,-168.96
Iceberg B22A,2025-07-31T00:00:00Z,725.0,-73.66,-169.91
Iceberg B22A,2025-08-21T00:00:00Z,725.0,-72.85,-170.36
Iceberg B22A,2025-09-04T00:00:00Z,725.0,-72.31,-171.01
Iceberg B22A,2025-09-11T00:00:00Z,725.0,-72.15,-172.53
Iceberg B22A,2025-09-26T00:00:00Z,725.0,-71.69,-173.47
Iceberg B22A,2025-10-09T00:00:00Z,725.0,-71.1,-174.64
Iceberg B22A,2025-10-16T00:00:00Z,725.0,-70.78,-175.65
Iceberg B22A,2025-10-31T00:00:00Z,725.0,-70.62,-177.22
Iceberg B22A,2025-11-28T00:00:00Z,725.0,-70.25,-178.57
Iceberg B22A,2026-03-26T00:00:00Z,725.0,-70.7,-178.6
Iceberg B09B,2011-08-30T00:00:00Z,,-66.366,143.3638
Iceberg B09B,2013-04-08T00:00:00Z,,-66.7354,142.6649
Iceberg B09B,2018-01-12T00:00:00Z,,-66.37,143.39
